smiles_solvent,smiles_solute,inchi_solvent,inchi_solute,dGsolv_avg,dGsolv_std [kcal/mol],dGsolv_all [kcal/mol],Source_all,mw_solvent,mw_solute,heavy_atoms_solvent,heavy_atoms_solute
CC(=O)C1=CC=CC=C1,CCC(C)=O,"InChI=1/C8H8O/c1-7(9)8-5-3-2-4-6-8/h2-6H,1H3","InChI=1/C4H8O/c1-3-4(2)5/h3H2,1-2H3",-4.3996,0.013,"[-4.4126, -4.3866]","["" 'CompSol Binary (entry number=14296)'"", "" 'CompSol Binary (entry number=14297)'""]",120.151,72.107,9,5
CC(=O)C1=CC=CC=C1,C[N+]([O-])=O,"InChI=1/C8H8O/c1-7(9)8-5-3-2-4-6-8/h2-6H,1H3",InChI=1/CH3NO2/c1-2(3)4/h1H3,-4.89285,0.03615,"[-4.8567, -4.929]","["" 'CompSol Binary (entry number=14378)'"", "" 'CompSol Binary (entry number=14379)'""]",120.151,61.04,9,4
C1=CC=C(C=C1)N,CCCCCCCC,"InChI=1/C6H7N/c7-6-4-2-1-3-5-6/h1-5H,7H2","InChI=1/C8H18/c1-3-5-7-8-6-4-2/h3-8H2,1-2H3",-3.517175,0.0290684,"[-3.5012, -3.5244, -3.5605, -3.4826]","["" 'CompSol Binary (entry number=32066)'"", "" 'CompSol Binary (entry number=32068)'"", "" 'CompSol Binary (entry number=32072)'"", "" 'CompSol Binary (entry number=32075)'""]",93.129,114.232,7,8
C1=CC=C(C=C1)N,Cc1ccccc1,"InChI=1/C6H7N/c7-6-4-2-1-3-5-6/h1-5H,7H2","InChI=1/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3",-4.60455,0.03225,"[-4.6368, -4.5723]","["" 'CompSol Binary (entry number=32028)'"", "" 'CompSol Binary (entry number=32033)'""]",93.129,92.141,7,7
C1=CC=C(C=C1)N,CCO,"InChI=1/C6H7N/c7-6-4-2-1-3-5-6/h1-5H,7H2","InChI=1/C2H6O/c1-2-3/h3H,2H2,1H3",-4.37825,0.07655,"[-4.3017, -4.4548]","["" 'CompSol Binary (entry number=31971)'"", "" 'CompSol Binary (entry number=31972)'""]",93.129,46.069,7,3
C1=CC=C(C=C1)N,C1COCCO1,"InChI=1/C6H7N/c7-6-4-2-1-3-5-6/h1-5H,7H2",InChI=1/C4H8O2/c1-2-6-4-3-5-1/h1-4H2,-5.65055,0.00495,"[-5.6555, -5.6456]","["" 'CompSol Binary (entry number=31839)'"", "" 'CompSol Binary (entry number=31840)'""]",93.129,88.106,7,6
C1=CC=C(C=C1)N,CCC(C)=O,"InChI=1/C6H7N/c7-6-4-2-1-3-5-6/h1-5H,7H2","InChI=1/C4H8O/c1-3-4(2)5/h3H2,1-2H3",-4.85975,0.00755,"[-4.8522, -4.8673]","["" 'CompSol Binary (entry number=31862)'"", "" 'CompSol Binary (entry number=31863)'""]",93.129,72.107,7,5
C1=CC=C(C=C1)N,C[N+]([O-])=O,"InChI=1/C6H7N/c7-6-4-2-1-3-5-6/h1-5H,7H2",InChI=1/CH3NO2/c1-2(3)4/h1H3,-5.0767,0.0379,"[-5.0388, -5.1146]","["" 'CompSol Binary (entry number=32054)'"", "" 'CompSol Binary (entry number=32055)'""]",93.129,61.04,7,4
COC1=CC=CC=C1,CCCCCCCC,"InChI=1/C7H8O/c1-8-7-5-3-2-4-6-7/h2-6H,1H3","InChI=1/C8H18/c1-3-5-7-8-6-4-2/h3-8H2,1-2H3",-4.69595,0.048741435,"[-4.746, -4.7354, -4.678, -4.6244]","["" 'CompSol Binary (entry number=47998)'"", "" 'CompSol Binary (entry number=47999)'"", "" 'CompSol Binary (entry number=48000)'"", "" 'CompSol Binary (entry number=48001)'""]",108.14,114.232,8,8
COC1=CC=CC=C1,Cc1ccccc1,"InChI=1/C7H8O/c1-8-7-5-3-2-4-6-7/h2-6H,1H3","InChI=1/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3",-5.0415,0.0982,"[-5.1397, -4.9433]","["" 'CompSol Binary (entry number=47992)'"", "" 'CompSol Binary (entry number=47993)'""]",108.14,92.141,8,7
COC1=CC=CC=C1,CCO,"InChI=1/C7H8O/c1-8-7-5-3-2-4-6-7/h2-6H,1H3","InChI=1/C2H6O/c1-2-3/h3H,2H2,1H3",-3.5216,0.0694,"[-3.4522, -3.591]","["" 'CompSol Binary (entry number=47968)'"", "" 'CompSol Binary (entry number=47969)'""]",108.14,46.069,8,3
COC1=CC=CC=C1,C1COCCO1,"InChI=1/C7H8O/c1-8-7-5-3-2-4-6-7/h2-6H,1H3",InChI=1/C4H8O2/c1-2-6-4-3-5-1/h1-4H2,-5.0572,0.0037,"[-5.0609, -5.0535]","["" 'CompSol Binary (entry number=47913)'"", "" 'CompSol Binary (entry number=47914)'""]",108.14,88.106,8,6
COC1=CC=CC=C1,CCC(C)=O,"InChI=1/C7H8O/c1-8-7-5-3-2-4-6-7/h2-6H,1H3","InChI=1/C4H8O/c1-3-4(2)5/h3H2,1-2H3",-4.45915,0.02685,"[-4.486, -4.4323]","["" 'CompSol Binary (entry number=47934)'"", "" 'CompSol Binary (entry number=47935)'""]",108.14,72.107,8,5
COC1=CC=CC=C1,C[N+]([O-])=O,"InChI=1/C7H8O/c1-8-7-5-3-2-4-6-7/h2-6H,1H3",InChI=1/CH3NO2/c1-2(3)4/h1H3,-4.6458,0.0409,"[-4.6049, -4.6867]","["" 'CompSol Binary (entry number=47994)'"", "" 'CompSol Binary (entry number=47995)'""]",108.14,61.04,8,4
C1=CC=CC=C1,CCCCC,InChI=1/C6H6/c1-2-4-6-5-3-1/h1-6H,"InChI=1/C5H12/c1-3-5-4-2/h3-5H2,1-2H3",-3.14555,0.00915,"[-3.1364, -3.1547]","["" 'CompSol Binary (entry number=33361)'"", "" 'CompSol Binary (entry number=33362)'""]",78.114,72.151,6,5
C1=CC=CC=C1,CCCCCC,InChI=1/C6H6/c1-2-4-6-5-3-1/h1-6H,"InChI=1/C6H14/c1-3-5-6-4-2/h3-6H2,1-2H3",-3.8412,0.0054,"[-3.8358, -3.8466]","["" 'CompSol Binary (entry number=33122)'"", "" 'CompSol Binary (entry number=33124)'""]",78.114,86.178,6,6
C1=CC=CC=C1,CCCCCCCC,InChI=1/C6H6/c1-2-4-6-5-3-1/h1-6H,"InChI=1/C8H18/c1-3-5-7-8-6-4-2/h3-8H2,1-2H3",-5.2505,0.057077009,"[-5.2302, -5.1931, -5.2332, -5.3455]","["" 'CompSol Binary (entry number=33329)'"", "" 'CompSol Binary (entry number=33330)'"", "" 'CompSol Binary (entry number=33331)'"", "" 'CompSol Binary (entry number=33333)'""]",78.114,114.232,6,8
C1=CC=CC=C1,C1CCCCC1,InChI=1/C6H6/c1-2-4-6-5-3-1/h1-6H,InChI=1/C6H12/c1-2-4-6-5-3-1/h1-6H2,-4.228533333,0.015646157,"[-4.245, -4.2075, -4.2331]","["" 'CompSol Binary (entry number=32833)'"", "" 'CompSol Binary (entry number=32861)'"", "" 'CompSol Binary (entry number=32863)'""]",78.114,84.162,6,6
C1=CC=CC=C1,Cc1ccccc1,InChI=1/C6H6/c1-2-4-6-5-3-1/h1-6H,"InChI=1/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3",-5.31805,0.00025,"[-5.3183, -5.3178]","["" 'CompSol Binary (entry number=33253)'"", "" 'CompSol Binary (entry number=33255)'""]",78.114,92.141,6,7
C1=CC=CC=C1,CO,InChI=1/C6H6/c1-2-4-6-5-3-1/h1-6H,"InChI=1/CH4O/c1-2/h2H,1H3",-2.5539,0.0775,"[-2.6314, -2.4764]","["" 'CompSol Binary (entry number=33172)'"", "" 'CompSol Binary (entry number=33173)'""]",78.114,32.042,6,2
C1=CC=CC=C1,CCO,InChI=1/C6H6/c1-2-4-6-5-3-1/h1-6H,"InChI=1/C2H6O/c1-2-3/h3H,2H2,1H3",-3.27598,0.113271857,"[-3.4087, -3.2228, -3.1734, -3.1592, -3.4158]","["" 'CompSol Binary (entry number=32919)'"", "" 'CompSol Binary (entry number=32920)'"", "" 'CompSol Binary (entry number=32921)'"", "" 'CompSol Binary (entry number=32922)'"", "" 'CompSol Binary (entry number=32936)'""]",78.114,46.069,6,3
C1=CC=CC=C1,CCCO,InChI=1/C6H6/c1-2-4-6-5-3-1/h1-6H,"InChI=1/C3H8O/c1-2-3-4/h4H,2-3H2,1H3",-3.9718,0,[-3.9718],"["" 'CompSol Binary (entry number=32382)'""]",78.114,60.096,6,4
C1=CC=CC=C1,CCCCO,InChI=1/C6H6/c1-2-4-6-5-3-1/h1-6H,"InChI=1/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3",-4.7347,0,[-4.7347],"["" 'CompSol Binary (entry number=32339)'""]",78.114,74.123,6,5
C1=CC=CC=C1,C1COCCO1,InChI=1/C6H6/c1-2-4-6-5-3-1/h1-6H,InChI=1/C4H8O2/c1-2-6-4-3-5-1/h1-4H2,-5.16135,0.04735,"[-5.114, -5.2087]","["" 'CompSol Binary (entry number=32317)'"", "" 'CompSol Binary (entry number=32318)'""]",78.114,88.106,6,6
C1=CC=CC=C1,CC(C)=O,InChI=1/C6H6/c1-2-4-6-5-3-1/h1-6H,InChI=1/C3H6O/c1-3(2)4/h1-2H3,-3.790566667,0.048154774,"[-3.8544, -3.7792, -3.7381]","["" 'CompSol Binary (entry number=32559)'"", "" 'CompSol Binary (entry number=32568)'"", "" 'CompSol Binary (entry number=32588)'""]",78.114,58.08,6,4
C1=CC=CC=C1,CCC(C)=O,InChI=1/C6H6/c1-2-4-6-5-3-1/h1-6H,"InChI=1/C4H8O/c1-3-4(2)5/h3H2,1-2H3",-4.46015,0.00475,"[-4.4554, -4.4649]","["" 'CompSol Binary (entry number=32449)'"", "" 'CompSol Binary (entry number=32450)'""]",78.114,72.107,6,5
C1=CC=CC=C1,C[N+]([O-])=O,InChI=1/C6H6/c1-2-4-6-5-3-1/h1-6H,InChI=1/CH3NO2/c1-2(3)4/h1H3,-4.4998,0,[-4.4998],"["" 'CompSol Binary (entry number=33313)'""]",78.114,61.04,6,4
C1=CC=C(C=C1)CO,CCCCCCCC,"InChI=1/C7H8O/c8-6-7-4-2-1-3-5-7/h1-5,8H,6H2","InChI=1/C8H18/c1-3-5-7-8-6-4-2/h3-8H2,1-2H3",-3.8096,0.037551365,"[-3.871, -3.8009, -3.7975, -3.769]","["" 'CompSol Binary (entry number=33696)'"", "" 'CompSol Binary (entry number=33697)'"", "" 'CompSol Binary (entry number=33698)'"", "" 'CompSol Binary (entry number=33701)'""]",108.14,114.232,8,8
C1=CC=C(C=C1)CO,Cc1ccccc1,"InChI=1/C7H8O/c8-6-7-4-2-1-3-5-7/h1-5,8H,6H2","InChI=1/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3",-4.52555,0.06045,"[-4.586, -4.4651]","["" 'CompSol Binary (entry number=33682)'"", "" 'CompSol Binary (entry number=33683)'""]",108.14,92.141,8,7
C1=CC=C(C=C1)CO,CCO,"InChI=1/C7H8O/c8-6-7-4-2-1-3-5-7/h1-5,8H,6H2","InChI=1/C2H6O/c1-2-3/h3H,2H2,1H3",-4.786,0.0515,"[-4.7345, -4.8375]","["" 'CompSol Binary (entry number=33659)'"", "" 'CompSol Binary (entry number=33660)'""]",108.14,46.069,8,3
C1=CC=C(C=C1)CO,C1COCCO1,"InChI=1/C7H8O/c8-6-7-4-2-1-3-5-7/h1-5,8H,6H2",InChI=1/C4H8O2/c1-2-6-4-3-5-1/h1-4H2,-5.42075,0.03455,"[-5.4553, -5.3862]","["" 'CompSol Binary (entry number=33612)'"", "" 'CompSol Binary (entry number=33613)'""]",108.14,88.106,8,6
C1=CC=C(C=C1)CO,CCC(C)=O,"InChI=1/C7H8O/c8-6-7-4-2-1-3-5-7/h1-5,8H,6H2","InChI=1/C4H8O/c1-3-4(2)5/h3H2,1-2H3",-4.6014,0.031,"[-4.6324, -4.5704]","["" 'CompSol Binary (entry number=33622)'"", "" 'CompSol Binary (entry number=33623)'""]",108.14,72.107,8,5
C1=CC=C(C=C1)CO,C[N+]([O-])=O,"InChI=1/C7H8O/c8-6-7-4-2-1-3-5-7/h1-5,8H,6H2",InChI=1/CH3NO2/c1-2(3)4/h1H3,-4.5044,0.0214,"[-4.483, -4.5258]","["" 'CompSol Binary (entry number=33690)'"", "" 'CompSol Binary (entry number=33691)'""]",108.14,61.04,8,4
C1=CC=C(C=C1)Br,CCCCCCCC,InChI=1/C6H5Br/c7-6-4-2-1-3-5-6/h1-5H,"InChI=1/C8H18/c1-3-5-7-8-6-4-2/h3-8H2,1-2H3",-5.045775,0.034203097,"[-5.1, -5.0495, -5.012, -5.0216]","["" 'Abraham Paper (A6)'"", "" 'CompSol Binary (entry number=34046)'"", "" 'CompSol Binary (entry number=34047)'"", "" 'CompSol Binary (entry number=34048)'""]",157.01,114.232,7,8
C1=CC=C(C=C1)Br,Cc1ccccc1,InChI=1/C6H5Br/c7-6-4-2-1-3-5-6/h1-5H,"InChI=1/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3",-5.154766667,0.01838665,"[-5.17, -5.1654, -5.1289]","["" 'Abraham Paper (A6)'"", "" 'CompSol Binary (entry number=34040)'"", "" 'CompSol Binary (entry number=34041)'""]",157.01,92.141,7,7
C1=CC=C(C=C1)Br,CCO,InChI=1/C6H5Br/c7-6-4-2-1-3-5-6/h1-5H,"InChI=1/C2H6O/c1-2-3/h3H,2H2,1H3",-3.125566667,0.098724544,"[-3.06, -3.0516, -3.2651]","["" 'Abraham Paper (A6)'"", "" 'CompSol Binary (entry number=34020)'"", "" 'CompSol Binary (entry number=34021)'""]",157.01,46.069,7,3
C1=CC=C(C=C1)Br,CCCO,InChI=1/C6H5Br/c7-6-4-2-1-3-5-6/h1-5H,"InChI=1/C3H8O/c1-2-3-4/h4H,2-3H2,1H3",-3.66,0,[-3.66],"["" 'Abraham Paper (A6)'""]",157.01,60.096,7,4
C1=CC=C(C=C1)Br,CCCCCO,InChI=1/C6H5Br/c7-6-4-2-1-3-5-6/h1-5H,"InChI=1/C5H12O/c1-2-3-4-5-6/h6H,2-5H2,1H3",-5.42,0,[-5.42],"["" 'Abraham Paper (A6)'""]",157.01,88.15,7,6
C1=CC=C(C=C1)Br,CCCCCCO,InChI=1/C6H5Br/c7-6-4-2-1-3-5-6/h1-5H,"InChI=1/C6H14O/c1-2-3-4-5-6-7/h7H,2-6H2,1H3",-5.98,0,[-5.98],"["" 'Abraham Paper (A6)'""]",157.01,102.177,7,7
C1=CC=C(C=C1)Br,C1COCCO1,InChI=1/C6H5Br/c7-6-4-2-1-3-5-6/h1-5H,InChI=1/C4H8O2/c1-2-6-4-3-5-1/h1-4H2,-5.0821,0.097783468,"[-5.22, -5.0042, -5.0221]","["" 'Abraham Paper (A6)'"", "" 'CompSol Binary (entry number=33976)'"", "" 'CompSol Binary (entry number=33977)'""]",157.01,88.106,7,6
C1=CC=C(C=C1)Br,CCC(C)=O,InChI=1/C6H5Br/c7-6-4-2-1-3-5-6/h1-5H,"InChI=1/C4H8O/c1-3-4(2)5/h3H2,1-2H3",-4.379033333,0.00836753,"[-4.39, -4.3774, -4.3697]","["" 'Abraham Paper (A6)'"", "" 'CompSol Binary (entry number=33993)'"", "" 'CompSol Binary (entry number=33994)'""]",157.01,72.107,7,5
C1=CC=C(C=C1)Br,C[N+]([O-])=O,InChI=1/C6H5Br/c7-6-4-2-1-3-5-6/h1-5H,InChI=1/CH3NO2/c1-2(3)4/h1H3,-4.187866667,0.050264788,"[-4.15, -4.1547, -4.2589]","["" 'Abraham Paper (A6)'"", "" 'CompSol Binary (entry number=34043)'"", "" 'CompSol Binary (entry number=34044)'""]",157.01,61.04,7,4
CCBr,CCCCCCCC,"InChI=1/C2H5Br/c1-2-3/h2H2,1H3","InChI=1/C8H18/c1-3-5-7-8-6-4-2/h3-8H2,1-2H3",-5.393833333,0.088146103,"[-5.3463, -5.3178, -5.5174]","["" 'CompSol Binary (entry number=34111)'"", "" 'CompSol Binary (entry number=34112)'"", "" 'CompSol Binary (entry number=34113)'""]",108.966,114.232,3,8
CCBr,Cc1ccccc1,"InChI=1/C2H5Br/c1-2-3/h2H2,1H3","InChI=1/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3",-5.44215,0.11145,"[-5.3307, -5.5536]","["" 'CompSol Binary (entry number=34106)'"", "" 'CompSol Binary (entry number=34107)'""]",108.966,92.141,3,7
CCBr,C1COCCO1,"InChI=1/C2H5Br/c1-2-3/h2H2,1H3",InChI=1/C4H8O2/c1-2-6-4-3-5-1/h1-4H2,-5.2103,0.1767,"[-5.0336, -5.387]","["" 'CompSol Binary (entry number=34085)'"", "" 'CompSol Binary (entry number=34086)'""]",108.966,88.106,3,6
CCBr,C[N+]([O-])=O,"InChI=1/C2H5Br/c1-2-3/h2H2,1H3",InChI=1/CH3NO2/c1-2(3)4/h1H3,-4.49005,0.04505,"[-4.445, -4.5351]","["" 'CompSol Binary (entry number=34108)'"", "" 'CompSol Binary (entry number=34109)'""]",108.966,61.04,3,4
CCCCO,CCCCCCCC,"InChI=1/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3","InChI=1/C8H18/c1-3-5-7-8-6-4-2/h3-8H2,1-2H3",-4.487666667,0.048153078,"[-4.45, -4.45, -4.573, -4.531, -4.4767, -4.4453]","["" 'Abraham Paper (A12)'"", "" 'Abraham Paper (A2)'"", "" 'CompSol Binary (entry number=9125)'"", "" 'CompSol Binary (entry number=9130)'"", "" 'CompSol Binary (entry number=9131)'"", "" 'CompSol Binary (entry number=9134)'""]",74.123,114.232,5,8
CCCCO,Cc1ccccc1,"InChI=1/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3","InChI=1/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3",-4.517,0.007035624,"[-4.52, -4.52, -4.523, -4.505]","["" 'Abraham Paper (A12)'"", "" 'Abraham Paper (A2)'"", "" 'CompSol Binary (entry number=9091)'"", "" 'CompSol Binary (entry number=9092)'""]",74.123,92.141,5,7
CCCCO,CCO,"InChI=1/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3","InChI=1/C2H6O/c1-2-3/h3H,2H2,1H3",-4.8984,0.066626271,"[-4.86, -4.86, -5.0138, -4.8598]","["" 'Abraham Paper (A12)'"", "" 'Abraham Paper (A2)'"", "" 'CompSol Binary (entry number=8907)'"", "" 'CompSol Binary (entry number=8928)'""]",74.123,46.069,5,3
CCCCO,CCC(C)=O,"InChI=1/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3","InChI=1/C4H8O/c1-3-4(2)5/h3H2,1-2H3",-4.12618,0.01331982,"[-4.12, -4.12, -4.1276, -4.151, -4.1123]","["" 'Abraham Paper (A12)'"", "" 'Abraham Paper (A2)'"", "" 'CompSol Binary (entry number=8534)'"", "" 'CompSol Binary (entry number=8535)'"", "" 'CompSol Binary (entry number=8551)'""]",74.123,72.107,5,5
CCCCO,C[N+]([O-])=O,"InChI=1/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3",InChI=1/CH3NO2/c1-2(3)4/h1H3,-3.8754,0.035921024,"[-3.85, -3.85, -3.9262]","["" 'Abraham Paper (A12)'"", "" 'Abraham Paper (A2)'"", "" 'CompSol Binary (entry number=9119)'""]",74.123,61.04,5,4
